"pump_station" "line_segment" "commodity" "line"
"CM" "1-CM-GF" "NGL" "1"
"CM" "1-CM-GF" "SYN" "1"
"CM" "1-CM-GF" "E43" "1"
"CM" "1-CM-GF" "C43" "1"
"CM" "1-CM-GF" "P43" "1"
"CM" "1-CM-GF" "S43" "1"
"CM" "1-CM-GF" "E35" "1"
"CM" "1-CM-GF" "E11" "1"
"CM" "1-CM-GF" "C35" "1"
"CM" "1-CM-GF" "P35" "1"
"CM" "1-CM-GF" "S51" "1"
"CM" "1-CM-GF" "E47" "1"
"CM" "1-CM-GF" "E53" "1"
"CM" "1-CM-GF" "C11" "1"
"CM" "1-CM-GF" "P47" "1"
"CM" "1-CM-GF" "S35" "1"
"CM" "1-CM-GF" "S11" "1"
"CM" "1-CM-GF" "C47" "1"
"LP" "1-CM-GF" "NGL" "1"
"LP" "1-CM-GF" "SYN" "1"
"LP" "1-CM-GF" "E43" "1"
"LP" "1-CM-GF" "C43" "1"
"LP" "1-CM-GF" "P43" "1"
"LP" "1-CM-GF" "S43" "1"
"LP" "1-CM-GF" "E35" "1"
"LP" "1-CM-GF" "E11" "1"
"LP" "1-CM-GF" "C35" "1"
"LP" "1-CM-GF" "P35" "1"
"LP" "1-CM-GF" "S51" "1"
"LP" "1-CM-GF" "E47" "1"
"LP" "1-CM-GF" "E53" "1"
"LP" "1-CM-GF" "C11" "1"
"LP" "1-CM-GF" "P47" "1"
"LP" "1-CM-GF" "S35" "1"
"LP" "1-CM-GF" "S11" "1"
"LP" "1-CM-GF" "C47" "1"
"SW" "1-CM-GF" "NGL" "1"
"SW" "1-CM-GF" "SYN" "1"
"SW" "1-CM-GF" "E43" "1"
"SW" "1-CM-GF" "C43" "1"
"SW" "1-CM-GF" "P43" "1"
"SW" "1-CM-GF" "S43" "1"
"SW" "1-CM-GF" "E35" "1"
"SW" "1-CM-GF" "E11" "1"
"SW" "1-CM-GF" "C35" "1"
"SW" "1-CM-GF" "P35" "1"
"SW" "1-CM-GF" "S51" "1"
"SW" "1-CM-GF" "E47" "1"
"SW" "1-CM-GF" "E53" "1"
"SW" "1-CM-GF" "C11" "1"
"SW" "1-CM-GF" "P47" "1"
"SW" "1-CM-GF" "S35" "1"
"SW" "1-CM-GF" "S11" "1"
"SW" "1-CM-GF" "C47" "1"
"XP" "1-CM-GF" "NGL" "1"
"XP" "1-CM-GF" "SYN" "1"
"XP" "1-CM-GF" "E43" "1"
"XP" "1-CM-GF" "C43" "1"
"XP" "1-CM-GF" "P43" "1"
"XP" "1-CM-GF" "S43" "1"
"XP" "1-CM-GF" "E35" "1"
"XP" "1-CM-GF" "E11" "1"
"XP" "1-CM-GF" "C35" "1"
"XP" "1-CM-GF" "P35" "1"
"XP" "1-CM-GF" "S51" "1"
"XP" "1-CM-GF" "E47" "1"
"XP" "1-CM-GF" "E53" "1"
"XP" "1-CM-GF" "C11" "1"
"XP" "1-CM-GF" "P47" "1"
"XP" "1-CM-GF" "S35" "1"
"XP" "1-CM-GF" "S11" "1"
"XP" "1-CM-GF" "C47" "1"
"BU" "1-DY-QU" "S43" "1"
"BU" "1-DY-QU" "SYN" "1"
"BU" "1-DY-QU" "NGL" "1"
"BU" "1-DY-QU" "E35" "1"
"BU" "1-DY-QU" "E11" "1"
"BU" "1-DY-QU" "S35" "1"
"BU" "1-DY-QU" "P35" "1"
"BU" "1-DY-QU" "S51" "1"
"BU" "1-DY-QU" "E43" "1"
"BU" "1-DY-QU" "E47" "1"
"BU" "1-DY-QU" "E53" "1"
"BU" "1-DY-QU" "P43" "1"
"BU" "1-DY-QU" "P11" "1"
"BU" "1-DY-QU" "P47" "1"
"BU" "1-DY-QU" "S11" "1"
"BU" "1-DY-QU" "C11" "1"
"MI" "1-DY-QU" "SYN" "1"
"MI" "1-DY-QU" "NGL" "1"
"MI" "1-DY-QU" "E35" "1"
"MI" "1-DY-QU" "E11" "1"
"MI" "1-DY-QU" "S35" "1"
"MI" "1-DY-QU" "P35" "1"
"MI" "1-DY-QU" "S43" "1"
"MI" "1-DY-QU" "S51" "1"
"MI" "1-DY-QU" "E43" "1"
"MI" "1-DY-QU" "E47" "1"
"MI" "1-DY-QU" "E53" "1"
"MI" "1-DY-QU" "P43" "1"
"MI" "1-DY-QU" "P11" "1"
"MI" "1-DY-QU" "P47" "1"
"MI" "1-DY-QU" "S11" "1"
"MI" "1-DY-QU" "C11" "1"
"MI" "1-DY-QU" "C35" "1"
"ZP" "1-DY-QU" "S43" "1"
"ZP" "1-DY-QU" "SYN" "1"
"ZP" "1-DY-QU" "NGL" "1"
"ZP" "1-DY-QU" "E35" "1"
"ZP" "1-DY-QU" "E11" "1"
"ZP" "1-DY-QU" "S35" "1"
"ZP" "1-DY-QU" "P35" "1"
"ZP" "1-DY-QU" "S51" "1"
"ZP" "1-DY-QU" "E43" "1"
"ZP" "1-DY-QU" "E47" "1"
"ZP" "1-DY-QU" "E53" "1"
"ZP" "1-DY-QU" "P43" "1"
"ZP" "1-DY-QU" "P11" "1"
"ZP" "1-DY-QU" "P47" "1"
"ZP" "1-DY-QU" "S11" "1"
"ZP" "1-DY-QU" "C11" "1"
"CC" "1-EP-KB" "SYN" "1"
"CC" "1-EP-KB" "E35" "1"
"CC" "1-EP-KB" "E11" "1"
"CC" "1-EP-KB" "S35" "1"
"CC" "1-EP-KB" "P35" "1"
"CC" "1-EP-KB" "NGL" "1"
"CC" "1-EP-KB" "S43" "1"
"CC" "1-EP-KB" "S51" "1"
"CC" "1-EP-KB" "E43" "1"
"CC" "1-EP-KB" "E47" "1"
"CC" "1-EP-KB" "E53" "1"
"CC" "1-EP-KB" "P43" "1"
"CC" "1-EP-KB" "P11" "1"
"CC" "1-EP-KB" "P47" "1"
"CC" "1-EP-KB" "S11" "1"
"CC" "1-EP-KB" "C11" "1"
"CC" "1-EP-KB" "C35" "1"
"EP" "1-EP-KB" "E35" "1"
"EP" "1-EP-KB" "E11" "1"
"EP" "1-EP-KB" "S35" "1"
"EP" "1-EP-KB" "P35" "1"
"EP" "1-EP-KB" "SYN" "1"
"EP" "1-EP-KB" "NGL" "1"
"EP" "1-EP-KB" "S43" "1"
"EP" "1-EP-KB" "S51" "1"
"EP" "1-EP-KB" "E43" "1"
"EP" "1-EP-KB" "E47" "1"
"EP" "1-EP-KB" "E53" "1"
"EP" "1-EP-KB" "P43" "1"
"EP" "1-EP-KB" "P11" "1"
"EP" "1-EP-KB" "P47" "1"
"EP" "1-EP-KB" "S11" "1"
"EP" "1-EP-KB" "C11" "1"
"EP" "1-EP-KB" "C35" "1"
"ST" "1-EP-KB" "SYN" "1"
"ST" "1-EP-KB" "E35" "1"
"ST" "1-EP-KB" "E11" "1"
"ST" "1-EP-KB" "S35" "1"
"ST" "1-EP-KB" "P35" "1"
"ST" "1-EP-KB" "NGL" "1"
"ST" "1-EP-KB" "S43" "1"
"ST" "1-EP-KB" "S51" "1"
"ST" "1-EP-KB" "E43" "1"
"ST" "1-EP-KB" "E47" "1"
"ST" "1-EP-KB" "E53" "1"
"ST" "1-EP-KB" "P43" "1"
"ST" "1-EP-KB" "P11" "1"
"ST" "1-EP-KB" "P47" "1"
"ST" "1-EP-KB" "S11" "1"
"ST" "1-EP-KB" "C11" "1"
"ST" "1-EP-KB" "C35" "1"
"YP" "1-EP-KB" "SYN" "1"
"YP" "1-EP-KB" "E35" "1"
"YP" "1-EP-KB" "E11" "1"
"YP" "1-EP-KB" "S35" "1"
"YP" "1-EP-KB" "P35" "1"
"YP" "1-EP-KB" "NGL" "1"
"YP" "1-EP-KB" "S43" "1"
"YP" "1-EP-KB" "S51" "1"
"YP" "1-EP-KB" "E43" "1"
"YP" "1-EP-KB" "E47" "1"
"YP" "1-EP-KB" "E53" "1"
"YP" "1-EP-KB" "P43" "1"
"YP" "1-EP-KB" "P11" "1"
"YP" "1-EP-KB" "P47" "1"
"YP" "1-EP-KB" "S11" "1"
"YP" "1-EP-KB" "C11" "1"
"YP" "1-EP-KB" "C35" "1"
"BB" "1-GF-PR" "SYN" "1"
"BB" "1-GF-PR" "NGL" "1"
"CR" "1-GF-PR" "SYN" "1"
"CR" "1-GF-PR" "NGL" "1"
"DR" "1-GF-PR" "SYN" "1"
"DR" "1-GF-PR" "NGL" "1"
"GF" "1-GF-PR" "SYN" "1"
"GF" "1-GF-PR" "NGL" "1"
"GW" "1-GF-PR" "SYN" "1"
"GW" "1-GF-PR" "NGL" "1"
"JL" "1-GF-PR" "SYN" "1"
"JL" "1-GF-PR" "NGL" "1"
"NC" "1-GF-PR" "SYN" "1"
"NC" "1-GF-PR" "NGL" "1"
"VG" "1-GF-PR" "SYN" "1"
"VG" "1-GF-PR" "NGL" "1"
"WL" "1-GF-PR" "SYN" "1"
"WL" "1-GF-PR" "NGL" "1"
"AP" "1-QU-CM" "SYN" "1"
"AP" "1-QU-CM" "E43" "1"
"AP" "1-QU-CM" "C43" "1"
"AP" "1-QU-CM" "P43" "1"
"AP" "1-QU-CM" "S43" "1"
"AP" "1-QU-CM" "NGL" "1"
